RS-12 (Sputnik);21089;21.210- 21.250;29.410- 29.450;29.408 ;SSB CW;;inactive
RS-13 (Sputnik);21089;21.260- 21.300;145.860-145.900;145.862 ;SSB CW;;inactive
RS-15 (Sputnik);23439;145.858-145.898;29.354- 29.394;29.352 ;SSB CW;;active
RS-21 (Sputnik);27394;;;145.825 ;CW;;reentered
RS-22 (Mozhayets-4);27939;;;432.098/435.352;CW;;active
RS-28 (UgatuSat);35868;;435.266/435.442;435.264 ;CW;;inactive
RS-30 (Yubileiniy-1);32953;;435.215 ;435.315 ;CW;;active
RS-38 (Tatiana-2);35869;;435.448/435.498;435.490 ;CW;;inactive
RS-39 (Chibis-M);38051;;435.215 ;435.315 ;CW;;reentered
RS-40 (MiR);38736;;;435.365 ;CW;;inactive
SACRED;;;436.870 ;;1200bps AFSK;WA4CEW;failure
SAFIR-S;25399;;;2401.900 ;9600bps FSK;DP1AIS;inactive
SaudiSat-4;40016;;;;Ka-band transponder;;
SEEDS;;;437.485 ;;1200bps AFSK;JQ1YGU;failure
SERPENS;40897;;145.980/437.365;;1k2 MSK/9k6 GFSK CW;PY0ESA;active
ShindaiSat;39572;;437.305 ;437.485 ;1200bps AFSK CW;JR0ZST;reentered
SHIN'EN2 (FO-82);;145.940-145.960;435.280-435.260;437.385/437.505;Transponder WSJT/CW;JG6YIG;active
SkyCube;39567;;915.000 ;;57.6Kbps;(non-amateur);
SO-33 (SEDSAT-1);25509;;437.910 ;437.910 ;9600bps FSK;SEDSAT-1;inactive
SO-35 (SUNSAT-1);25636;436.291 ;145.825 ;145.825 ;9600bps FM;SUNSAT-3;inactive
SO-41 (SaudiSat-1a);26545;;436.775 ;436.775 ;9600bps FSK;SASAT1-11 -12;inactive
SO-42 (SaudiSat-1b);26549;;436.075 ;436.075 ;9600bps FSK;SASAT2-11 -12;inactive
SO-43 (Starshine);26929;;;145.820 ;9600bps FSK;STRSHN;reentered
SO-50 (SaudiSat-1c);27607;145.850 ;436.795 ;;FM_tone 67.0Hz;;active
SO-67 (SumbandilaSat);35870;145.875 ;435.345 ;435.300 ;FM_tone 233.6Hz;;inactive
SOCRATES;39768;;;;;(non-amateur);
SOHLA-1 (MAIDO-1);33496;;437.505 ;437.505 ;1200bps AFSK CW;JL3YUS;inactive
